Institution,Course,When?,LeveL
AUA,Microeconomics Theory I,2013-today, Undergrad
AUA,Econometrics I ,2018-today, Undergrad
AUA,Applied Microeconometrics,2018-today, Undergrad
AUA,Experimental Economics,2018-today, Undergrad
AUA,Applied Food Demand Analysis ,"2008-2009,  2011-2013, 2015", optional MBA course
AUA,Selected Topics in Marketing ,"2015, 2017, 2018,  2019", optional MBA course
HOU,"Economics and Business Administration: Microeconomics, Macroeconomics, Public Economics ",2016-today, Undergrad
